Naca foil,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Mach,Reynolds number,Max thickness,Max thickness location,Max camber,Max camber location,TE gap,LE radius,TE angle
12,-10,-1.2069,0.01135,0.00704,-0.0065,1,0.0132,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9.5,-1.1442,0.01066,0.00631,-0.0059,0.9989,0.0145,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9,-1.0766,0.01,0.00562,-0.0065,0.9969,0.0162,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8.5,-1.0077,0.00939,0.005,-0.0075,0.995,0.0183,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8,-0.9426,0.00889,0.00449,-0.0077,0.9899,0.0204,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7.5,-0.8805,0.0084,0.004,-0.0074,0.9808,0.0238,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7,-0.8234,0.00797,0.00357,-0.0061,0.9662,0.0278,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6.5,-0.7664,0.0076,0.00318,-0.0048,0.9471,0.0329,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6,-0.7087,0.00727,0.00282,-0.0037,0.9235,0.039,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5.5,-0.6504,0.00696,0.00248,-0.0029,0.8955,0.0488,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5,-0.5918,0.00668,0.00217,-0.0022,0.8623,0.0611,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4.5,-0.533,0.00643,0.0019,-0.0016,0.8242,0.0781,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4,-0.474,0.0062,0.00165,-0.0012,0.7837,0.1002,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-3.5,-0.4152,0.00598,0.00143,-0.0008,0.7392,0.1296,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-3,-0.3562,0.00577,0.00123,-0.0005,0.6942,0.1652,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2.5,-0.2972,0.00558,0.00107,-0.0003,0.6494,0.2057,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2,-0.2378,0.00545,0.00095,-0.0002,0.6047,0.2462,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1.5,-0.1786,0.00533,0.00085,-0.0001,0.5596,0.2913,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1,-0.1191,0.00524,0.00078,0,0.5148,0.337,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-0.5,-0.0596,0.00519,0.00074,0,0.471,0.3818,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0,0,0.00518,0.00073,0,0.4263,0.4252,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0.5,0.0596,0.00518,0.00074,0,0.3821,0.4708,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1,0.1191,0.00523,0.00078,0,0.3374,0.5161,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1.5,0.1786,0.00533,0.00085,0.0001,0.2915,0.5591,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2,0.2378,0.00545,0.00095,0.0002,0.2454,0.6048,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2.5,0.2971,0.00559,0.00107,0.0003,0.2052,0.6494,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3,0.3562,0.00577,0.00123,0.0005,0.1655,0.6945,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3.5,0.4152,0.00597,0.00142,0.0008,0.1301,0.7394,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,4,0.474,0.0062,0.00165,0.0012,0.1001,0.7832,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,4.5,0.533,0.00643,0.0019,0.0016,0.0783,0.8242,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,5,0.5918,0.00667,0.00217,0.0022,0.0614,0.8624,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,5.5,0.6503,0.00696,0.00248,0.0029,0.0488,0.8955,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,6,0.7087,0.00727,0.00282,0.0037,0.039,0.9235,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,6.5,0.7664,0.0076,0.00318,0.0048,0.0329,0.9472,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,7,0.8234,0.00797,0.00357,0.0061,0.0278,0.9663,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,7.5,0.8805,0.0084,0.004,0.0074,0.0238,0.9808,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,8,0.9427,0.00888,0.00449,0.0077,0.0204,0.99,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,8.5,1.0079,0.00939,0.005,0.0075,0.0183,0.995,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,9,1.0767,0.01,0.00562,0.0065,0.0163,0.9969,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,9.5,1.1444,0.01066,0.00631,0.0059,0.0144,0.9989,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,10,1.2069,0.01135,0.00704,0.0065,0.0132,1,0.3,5000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-10,-1.2073,0.01087,0.00667,-0.0067,0.9996,0.0127,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9.5,-1.1399,0.01025,0.00601,-0.0071,0.9979,0.0137,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9,-1.0723,0.00958,0.00532,-0.0076,0.9959,0.0157,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8.5,-1.0049,0.00905,0.00478,-0.0083,0.9927,0.0173,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8,-0.9434,0.00855,0.00427,-0.0077,0.9836,0.0198,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7.5,-0.8862,0.00812,0.00382,-0.0063,0.9698,0.023,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7,-0.8288,0.00773,0.00342,-0.005,0.9526,0.0265,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6.5,-0.7708,0.00738,0.00304,-0.0039,0.9304,0.0314,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6,-0.7123,0.00708,0.0027,-0.003,0.9038,0.0375,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5.5,-0.6534,0.00681,0.00238,-0.0023,0.8721,0.0455,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5,-0.5942,0.00657,0.0021,-0.0017,0.8355,0.0563,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
